[command] ไม่ขายก๋วยเตี๋ยว | 2021-09-22 14:06:08.089860 | pp4rosie#2007 | jek spam <@!324200266771595276>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 11:06:16.491458 | minkomuefha#7716 | jek play https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx?si=KTE1Kdk8R9moBTTHVFIYWg&dl_branch=1
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 11:06:40.340560 | minkomuefha#7716 | jek play https://open.spotify.com/track/1hGy2eLcmC8eKx7qr1tOqx?si=KTE1Kdk8R9moBTTHVFIYWg&dl_branch=1
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 11:10:20.971680 | นกมะเขือเทศ#0754 | jek amoug
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-01 11:11:37.824933 | QGIS#6129 | jek play
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-01 11:11:44.353836 | QGIS#6129 | jek help
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 11:12:04.327344 | นกมะเขือเทศ#0754 | jek amogus
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:24:11.460673 | นกมะเขือเทศ#0754 | jek help
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:24:59.182149 | นกมะเขือเทศ#0754 | jek spam <@!690651205952864296>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:25:36.381995 | นกมะเขือเทศ#0754 | jek amogus
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:25:44.841235 | minkomuefha#7716 | jek spam <@!709699829235712070>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:26:05.735956 | นกมะเขือเทศ#0754 | jek spam <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:26:18.181037 | hc4eplaeros#4485 | jek spam <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:26:34.019014 | นกมะเขือเทศ#0754 | jek spam <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:26:53.790925 | นกมะเขือเทศ#0754 | jek tag <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:27:07.590083 | hc4eplaeros#4485 | jek say hi <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:27:20.222947 | hc4eplaeros#4485 | jek spam <@796982576572661790>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:27:22.937671 | นกมะเขือเทศ#0754 | jek tag <@!690651205952864296>
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-01 15:28:05.296882 | minkomuefha#7716 | jek spam <@!636103248641654794>
[command] Kanoon’s Best Amigos | 2021-10-05 09:07:02.207550 | Tree#8650 | jek spam <@!381738460295200769>
[command] Kanoon’s Best Amigos | 2021-10-05 10:18:05.595159 | pp4rosie#2007 | jek https://youtu.be/NnYTklIzvAY
[command] Kanoon’s Best Amigos | 2021-10-05 10:20:26.861441 | pp4rosie#2007 | jek play https://youtu.be/NnYTklIzvAY
[command] Kanoon’s Best Amigos | 2021-10-05 10:23:51.532059 | pp4rosie#2007 | jek play https://youtu.be/d523r1p1qTo
[command] Kanoon’s Best Amigos | 2021-10-05 10:24:16.028045 | pp4rosie#2007 | jek play https://youtu.be/d523r1p1qTo
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 11:33:39.538960 | pp4rosie#2007 | jek what
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 11:36:59.317684 | pp4rosie#2007 | jek what
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 11:39:21.001333 | pp4rosie#2007 | jek what
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 13:51:10.289147 | pp4rosie#2007 | jek play https://youtu.be/Nf6UCfL_xCc
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 13:52:15.763627 | pp4rosie#2007 | jek play https://youtu.be/Nf6UCfL_xCc
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 14:21:15.842619 | pp4rosie#2007 | jek what
[command] Kanoon’s Best Amigos | 2021-10-05 14:51:31.133560 | pp4rosie#2007 | jek what
[command] Kanoon’s Best Amigos | 2021-10-05 15:01:55.229574 | Tree#8650 | jek what
[command] Kanoon’s Best Amigos | 2021-10-05 15:02:13.414893 | Tree#8650 | jek what
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:47:49.417893 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:48:25.957807 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:48:45.716246 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:49:12.369051 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:49:29.013225 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 19:49:54.087550 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 20:00:16.511354 | pp4rosie#2007 | jek play https://youtu.be/RtPb4NMkT-s
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-05 20:38:45.001895 | pp4rosie#2007 | jek play old town road
[command] Kanoon’s Best Amigos | 2021-10-08 08:12:20.368537 | pp4rosie#2007 | jek play https://youtu.be/d523r1p1qTo
[command] Kanoon’s Best Amigos | 2021-10-08 08:16:41.336125 | pp4rosie#2007 | jek play https://youtu.be/GcTAQcI4pY8
[command] Kanoon’s Best Amigos | 2021-10-08 08:20:35.760482 | pp4rosie#2007 | jek play https://youtu.be/G25jfO_slYA
[command] Kanoon’s Best Amigos | 2021-10-08 08:29:04.938821 | pp4rosie#2007 | jek play omi cheerleader
[command] Kanoon’s Best Amigos | 2021-10-08 08:32:29.862968 | pp4rosie#2007 | jek play old town road
[command] Kanoon’s Best Amigos | 2021-10-08 08:40:40.432302 | pp4rosie#2007 | jek play https://youtu.be/fc1xsOr9Zek
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-08 12:33:28.905488 | hc4eplaeros#4485 | jek ym_trigger word
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-08 12:33:48.615666 | pp4rosie#2007 | jek gg_ez
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-08 12:33:54.829929 | uchiha playfa#9982 | jek ym_trigger word
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-08 12:33:56.321221 | hc4eplaeros#4485 | jek ym_trigger ร
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-08 12:33:59.534407 | pp4rosie#2007 | jek ym_ez
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-08 12:34:16.551241 | uchiha playfa#9982 | jek ym_trigger สมน้ำหน้าทุกคน
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-08 12:34:20.620147 | pp4rosie#2007 | jek ez_trigger word
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-08 12:34:24.413252 | pp4rosie#2007 | jek help
[command] ข้าอยากรับประทานนางฟ้าผีเสื้อ | 2021-10-08 12:44:15.109589 | นกมะเขือเทศ#0754 | jek ym_trigger ส้มตำ
[command] Kanoon’s Best Amigos | 2021-10-08 13:55:40.399942 | ....#6809 | jek play https://www.youtube.com/watch?v=HfH8n0_T0_Y
