
[command] Kanoon’s Best Amigos | 2021-10-28 13:12:28.736071 | pleumpwr#4479 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:05:46.348910 | QGIS#6129 | jek bet 200
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:06:07.879828 | แว่นแดง#5640 | jek bet 1000
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:07:41.616695 | แว่นแดง#5640 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:07:58.022452 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:08:36.667766 | แว่นแดง#5640 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:08:42.579225 | pp4rosie#2007 | jek give your mom 0.0000000000000000000000000000069
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 17:09:22.217961 | แว่นแดง#5640 | jek claim
[command] Kanoon’s Best Amigos | 2021-10-28 17:43:58.485544 | pp4rosie#2007 | jek play https://youtu.be/k0hy_utZW8A
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-28 18:22:23.347522 | QGIS#6129 | Jek code KINGDOMNBLUECLUB
[command] GLHFGGEZ | 2021-10-29 07:51:35.435211 | เพื่อนมึงไง#5065 | jek wallet
[command] GLHFGGEZ | 2021-10-29 07:51:43.398105 | เพื่อนมึงไง#5065 | jek match
[command] GLHFGGEZ | 2021-10-29 07:52:00.521398 | เพื่อนมึงไง#5065 | jek bet
[command] GLHFGGEZ | 2021-10-29 07:52:41.275328 | เพื่อนมึงไง#5065 | jek bet 100
[command] GLHFGGEZ | 2021-10-29 07:54:39.307310 | เพื่อนมึงไง#5065 | jek bet 100
[command] Kanoon’s Best Amigos | 2021-10-29 11:54:05.903992 | pleumpwr#4479 | jek play she make it clap tory lanez
[command] Kanoon’s Best Amigos | 2021-10-29 11:55:38.628439 | pleumpwr#4479 | jek play cash shit meghan
[command] Kanoon’s Best Amigos | 2021-10-29 11:59:54.070808 | pleumpwr#4479 | jek play https://youtu.be/wx9aaRXDERw
[command] Kanoon’s Best Amigos | 2021-10-29 12:00:28.678810 | pleumpwr#4479 | jek play Was du liebe nenst
[command] Kanoon’s Best Amigos | 2021-10-29 12:03:25.896219 | pleumpwr#4479 | jek play stay high 2.0 ufo361
[command] Kanoon’s Best Amigos | 2021-10-29 12:10:52.257833 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=dAB3gziF9R4
[command] Kanoon’s Best Amigos | 2021-10-29 12:15:48.243443 | pleumpwr#4479 | jek play Yugo rin
[command] Kanoon’s Best Amigos | 2021-10-29 12:17:18.346084 | pleumpwr#4479 | jek play https://www.youtube.com/watch?v=m01Kb3JJeqw
[command] Kanoon’s Best Amigos | 2021-10-29 12:37:46.625885 | pleumpwr#4479 | jek play เต้ exenfire reverse
[command] Kanoon’s Best Amigos | 2021-10-29 12:40:34.369789 | pleumpwr#4479 | jek play โชเล่ รีเวิร์ส
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 13:00:09.886600 | QGIS#6129 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 13:00:19.395579 | QGIS#6129 | Jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:16:26.727621 | pp4rosie#2007 | jek ym_trigger
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:18:20.423791 | pp4rosie#2007 | jek ym_trigger SUS
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:18:44.797973 | pp4rosie#2007 | jek ym_trigger
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:18:54.887387 | pp4rosie#2007 | jek ym_trigger SUS sus
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:19:06.151185 | pp4rosie#2007 | jek ym_trigger
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:19:13.720968 | pp4rosie#2007 | jek ym_trigger SUS
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:19:18.508384 | pp4rosie#2007 | jek ym_trigger sus
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-29 14:19:51.638411 | pp4rosie#2007 | jek ym_trigger ยม
[command] Kanoon’s Best Amigos | 2021-10-29 14:53:20.233701 | Tree#8650 | jek play drain you
[command] Kanoon’s Best Amigos | 2021-10-29 15:02:00.019937 | Tree#8650 | jek play come as you are
[command] Kanoon’s Best Amigos | 2021-10-29 15:16:58.969239 | pp4rosie#2007 | jek play 邓丽君 星
[command] Kanoon’s Best Amigos | 2021-10-29 15:54:09.546997 | zearthz#2243 | jek play https://youtu.be/Gb6acGy7Lbc
[command] Kanoon’s Best Amigos | 2021-10-29 15:56:34.604628 | pp4rosie#2007 | jek play 我只在乎你
[command] Kanoon’s Best Amigos | 2021-10-29 15:56:58.179633 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-29 15:57:02.628480 | pp4rosie#2007 | jek leave
[command] Kanoon’s Best Amigos | 2021-10-29 15:57:05.413985 | pp4rosie#2007 | jek join
[command] Kanoon’s Best Amigos | 2021-10-29 15:57:12.216541 | pp4rosie#2007 | jek play 我只在乎你
[command] Kanoon’s Best Amigos | 2021-10-29 15:57:24.858197 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-29 15:57:30.151850 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-10-29 16:00:12.755496 | pp4rosie#2007 | jek play 失恋阵线联盟
[command] Kanoon’s Best Amigos | 2021-10-29 16:03:08.133155 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-29 16:03:26.384314 | pp4rosie#2007 | jek play 失恋阵线联盟
[command] Kanoon’s Best Amigos | 2021-10-29 16:05:04.806195 | pp4rosie#2007 | jek play la marseillaise mireille mathieu
[command] Kanoon’s Best Amigos | 2021-10-29 16:06:39.349654 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-29 18:04:35.763400 | Tree#8650 | jek play nirvana drain you
[command] Kanoon’s Best Amigos | 2021-10-29 18:05:55.091965 | Tree#8650 | jek play lithium
[command] Kanoon’s Best Amigos | 2021-10-29 18:16:29.315873 | Tree#8650 | jek play fuck the police
[command] Kanoon’s Best Amigos | 2021-10-29 21:18:27.709519 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Hgv7z1B1eVk
[command] Kanoon’s Best Amigos | 2021-10-29 21:21:53.056541 | pp4rosie#2007 | jek play peaches
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 11:35:45.198854 | QGIS#6129 | Jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 11:36:03.505866 | QGIS#6129 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 11:36:14.137556 | QGIS#6129 | Jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 11:36:34.748119 | QGIS#6129 | Jek bet 25
[command] GLHFGGEZ | 2021-10-30 12:09:41.119144 | แว่นแดง#5640 | jek wallet
[command] GLHFGGEZ | 2021-10-30 12:09:56.958381 | แว่นแดง#5640 | jek bet 50
[command] GLHFGGEZ | 2021-10-30 12:10:58.443824 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 13:51:53.332936 | pp4rosie#2007 | jek play https://youtu.be/Gd1qkuKDDb8
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 13:53:33.636741 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=Pu2Z7gC0eHQ
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 13:54:57.435817 | pp4rosie#2007 | jek play la reine des neiges
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 13:55:42.764182 | pp4rosie#2007 | jek play https://youtu.be/rAn_MkaqlPs
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 15:56:51.546767 | pp4rosie#2007 | jek play https://youtu.be/U35zagxQqXY
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 16:14:34.790293 | pp4rosie#2007 | jek play https://youtu.be/Qow_XNBCdl0
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 17:21:23.438635 | แว่นแดง#5640 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 17:22:00.874678 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 17:22:48.607439 | แว่นแดง#5640 | Jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 17:23:23.997419 | แว่นแดง#5640 | Jek bet 120.5
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 17:23:38.967098 | แว่นแดง#5640 | Jek bet 120
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 19:05:22.545498 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=8QTGxuoO_9E
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:40:08.103673 | QGIS#6129 | jek play heartache
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:40:22.984724 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:41:04.044276 | QGIS#6129 | jek play heartach al bow
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:41:54.742059 | QGIS#6129 | jek feedback ถอนตังที่Betไว้ไม่ได้
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:42:12.461761 | QGIS#6129 | jek healp
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:42:17.159297 | QGIS#6129 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:42:53.770292 | QGIS#6129 | jek mybet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:42:59.591938 | QGIS#6129 | jek bet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 21:43:29.986775 | QGIS#6129 | jek bet 250
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:11:06.202375 | QGIS#6129 | jek p https://open.spotify.com/track/2zSiV8Ze0yyrFtbVzX2Ytg?si=0dadb7f7ef514b40
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:11:38.918452 | QGIS#6129 | jek feedback ขอเล่นใน spotify ด้วย
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:12:44.051751 | QGIS#6129 | jek p Adagio cantabile II. Piano Sonata No. 8
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:14:12.519003 | pp4rosie#2007 | jek play la vie en rose andrea bocelli
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:18:58.147981 | QGIS#6129 | jek p le fishe
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:19:41.084807 | pp4rosie#2007 | jek play le fishe
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:42:33.960545 | pp4rosie#2007 | jek play https://youtu.be/RHb5LKnnxLg
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:47:20.982113 | pp4rosie#2007 | jek play hala madrid
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:51:31.502657 | pp4rosie#2007 | jek play sicko mode
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 22:59:49.407409 | QGIS#6129 | jek p musetta's waltz
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-30 23:01:30.982180 | pp4rosie#2007 | jek play Quando me'n vo'
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 02:12:19.121917 | แว่นแดง#5640 | Jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 10:03:42.686861 | QGIS#6129 | jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:06:27.691146 | QGIS#6129 | jek what réminiscence épilogue
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:06:50.433325 | QGIS#6129 | jek แปล réminiscence épilogue
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:07:29.657025 | QGIS#6129 | jek what nigga
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:07:46.341956 | QGIS#6129 | jek feedback jek what ใช้ไม่ได้ครับจาร
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:10:52.186068 | QGIS#6129 | jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:11:44.610580 | QGIS#6129 | jek what | jek trans use on message
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 11:16:19.790158 | QGIS#6129 | jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 12:57:44.069332 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-10-31 12:58:20.718381 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-10-31 12:58:29.094981 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:02:21.186221 | แว่นแดง#5640 | jek code JEKBIRTHDAY1MONTH
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:02:41.859866 | แว่นแดง#5640 | jek feedback เพิ่มระบบโค้ดดิ๊
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:33:05.620365 | QGIS#6129 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:33:13.095755 | QGIS#6129 | jek withdraw 300
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:33:27.351990 | QGIS#6129 | jek feedback withdraw ยังไม่ได้อีกหรอ
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 13:35:33.032687 | QGIS#6129 | jek เติม 100
[command] Kanoon’s Best Amigos | 2021-10-31 14:23:25.099162 | pp4rosie#2007 | jek play ucl anthem
[command] Kanoon’s Best Amigos | 2021-10-31 14:26:42.898712 | pp4rosie#2007 | jek play la marseillaise mireille mathieu
[command] Kanoon’s Best Amigos | 2021-10-31 14:27:12.583981 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-31 14:27:32.989703 | pp4rosie#2007 | jek refresh
[command] Kanoon’s Best Amigos | 2021-10-31 15:31:03.866956 | ....#6809 | jek spam <@!585609685651161098>
[command] Kanoon’s Best Amigos | 2021-10-31 15:34:37.955775 | ....#6809 | jek spam <@!293722130540134403>
[command] Kanoon’s Best Amigos | 2021-10-31 15:36:24.042602 | zearthz#2243 | jek play https://youtu.be/Cbw8KpqQQsE
[command] Kanoon’s Best Amigos | 2021-10-31 15:40:52.362815 | pp4rosie#2007 | jek play ramenez la coupe a la maison
[command] Kanoon’s Best Amigos | 2021-10-31 16:05:44.524370 | pp4rosie#2007 | jek play ucl anthem
[command] Kanoon’s Best Amigos | 2021-10-31 16:09:22.102254 | pp4rosie#2007 | jek play andrea bocelli ucl anthe,
[command] Kanoon’s Best Amigos | 2021-10-31 16:09:40.527220 | pp4rosie#2007 | jek play andrea bocelli la vie en rose
[command] Kanoon’s Best Amigos | 2021-10-31 16:10:44.219671 | pleumpwr#4479 | jek play der Legende Lebt Nürnberg
[command] Kanoon’s Best Amigos | 2021-10-31 16:13:24.306591 | pp4rosie#2007 | jek play la marseillaise
[command] Kanoon’s Best Amigos | 2021-10-31 16:13:41.081547 | pp4rosie#2007 | jek play la marseillaise
[command] Kanoon’s Best Amigos | 2021-10-31 16:14:18.070792 | pleumpwr#4479 | jek play Deutschlandlied
[command] Kanoon’s Best Amigos | 2021-10-31 16:15:16.440835 | pp4rosie#2007 | jek play les champs elysees joedassin
[command] Kanoon’s Best Amigos | 2021-10-31 16:15:23.279176 | pleumpwr#4479 | Jek play qing dynasty anthem
[command] Kanoon’s Best Amigos | 2021-10-31 16:17:52.112922 | pp4rosie#2007 | jek play deutschland national anthem
[command] Kanoon’s Best Amigos | 2021-10-31 16:19:09.211954 | zearthz#2243 | jek play https://youtu.be/Vqon45s1rD4
[command] Kanoon’s Best Amigos | 2021-10-31 16:22:23.629783 | pp4rosie#2007 | jek play https://youtu.be/1WNEivEu9Q8
[command] Kanoon’s Best Amigos | 2021-10-31 16:35:26.663610 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=WLqaUQhlGwM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 16:36:41.756305 | QGIS#6129 | jek claim
[command] Kanoon’s Best Amigos | 2021-10-31 16:43:03.010426 | zearthz#2243 | jek play https://youtu.be/2_vDjaED4Io
[command] Kanoon’s Best Amigos | 2021-10-31 16:43:20.564266 | pp4rosie#2007 | jek play tout doucement
[command] Kanoon’s Best Amigos | 2021-10-31 16:46:36.753683 | pp4rosie#2007 | jek play tout doucement sarah
[command] Kanoon’s Best Amigos | 2021-10-31 16:46:41.187712 | zearthz#2243 | jek play https://youtu.be/tLNBroJOptY
[command] Kanoon’s Best Amigos | 2021-10-31 16:50:23.915246 | pp4rosie#2007 | jek play https://www.youtube.com/watch?v=XVhNSl9lllo
[command] Kanoon’s Best Amigos | 2021-10-31 16:51:06.823421 | pleumpwr#4479 | jek play เท่ง lamar
[command] Kanoon’s Best Amigos | 2021-10-31 16:55:27.031945 | pp4rosie#2007 | jek clear
[command] Kanoon’s Best Amigos | 2021-10-31 16:55:45.876832 | pp4rosie#2007 | jek play stay kid laroi
[command] Kanoon’s Best Amigos | 2021-10-31 16:58:30.974222 | zearthz#2243 | jek play https://youtu.be/47J8Aybd3Jo
[command] Kanoon’s Best Amigos | 2021-10-31 17:00:05.030832 | pleumpwr#4479 | jek play เดี๋ยวจะโดนโป้ง
[command] Kanoon’s Best Amigos | 2021-10-31 17:03:00.809617 | zearthz#2243 | jek play https://youtu.be/gYcpYtVfDCk
[command] Kanoon’s Best Amigos | 2021-10-31 17:08:03.059830 | pleumpwr#4479 | jek play can’t tell me nothing
[command] Kanoon’s Best Amigos | 2021-10-31 17:09:35.715133 | zearthz#2243 | jek play https://youtu.be/Tvm-Do8PSNQ
[command] Kanoon’s Best Amigos | 2021-10-31 17:10:15.311657 | pleumpwr#4479 | jek play bohemian rhapsody deutsch
[command] Kanoon’s Best Amigos | 2021-10-31 17:16:31.226310 | pp4rosie#2007 | jek play https://youtu.be/Nq5k2oR-Qh4
[command] Kanoon’s Best Amigos | 2021-10-31 17:18:14.826265 | pleumpwr#4479 | jek play bohemian rhapsody arab version
[command] Kanoon’s Best Amigos | 2021-10-31 17:19:03.046677 | pleumpwr#4479 | jek play bohemian rhapsody thai version
[command] Kanoon’s Best Amigos | 2021-10-31 17:19:26.949695 | pleumpwr#4479 | jek play Bohemian rhapsody japanese version
[command] Kanoon’s Best Amigos | 2021-10-31 17:23:02.514529 | zearthz#2243 | jek play https://youtu.be/E8gmARGvPlI
[command] Kanoon’s Best Amigos | 2021-10-31 17:24:25.156251 | pleumpwr#4479 | jek play สบายดีหรือเปล่า
[command] Kanoon’s Best Amigos | 2021-10-31 17:24:56.630421 | pleumpwr#4479 | jek play ฉันอยากร่วมทางไปกับเธอ Rapake
[command] Kanoon’s Best Amigos | 2021-10-31 17:28:19.767555 | pleumpwr#4479 | jek play bohemian rhapsody russian version
[command] Kanoon’s Best Amigos | 2021-10-31 17:28:54.161029 | zearthz#2243 | jek play https://youtu.be/86fwTX9x1fo
[command] Kanoon’s Best Amigos | 2021-10-31 17:31:34.799321 | pleumpwr#4479 | jek play ฝากความยินดี clash
[command] Kanoon’s Best Amigos | 2021-10-31 17:32:47.575218 | zearthz#2243 | jek play  https://youtu.be/CE-jw2obLxc
[command] Kanoon’s Best Amigos | 2021-10-31 17:33:15.153324 | pleumpwr#4479 | jek play เพลงดี อาจารย์แดง remix
[command] Kanoon’s Best Amigos | 2021-10-31 17:35:13.442263 | pleumpwr#4479 | jek play ขอเจ็บแทน
[command] Kanoon’s Best Amigos | 2021-10-31 17:45:30.679790 | zearthz#2243 | jek play https://youtu.be/phaJXp_zMYM
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 18:32:03.752789 | QGIS#6129 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-10-31 18:33:23.333899 | QGIS#6129 | jek bet 300
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 03:34:18.770808 | แว่นแดง#5640 | Jek claim
[command] GLHFGGEZ | 2021-11-01 10:19:29.269580 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-01 10:19:43.071990 | เพื่อนมึงไง#5065 | jek checkin
[command] GLHFGGEZ | 2021-11-01 10:19:50.745935 | เพื่อนมึงไง#5065 | jek claim
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 10:20:08.734901 | แว่นแดง#5640 | jek checkin
[command] GLHFGGEZ | 2021-11-01 10:20:14.114853 | แว่นแดง#5640 | jek wallet
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 11:32:41.538350 | QGIS#6129 | Jek checkin
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 11:32:52.512294 | QGIS#6129 | Jek bet 69
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 11:33:37.497113 | QGIS#6129 | Jek help
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-01 12:51:19.581801 | pp4rosie#2007 | jek china | กุยังไม่5ดาว
[command] Kanoon’s Best Amigos | 2021-11-01 16:50:21.188459 | pleumpwr#4479 | jek play https://youtu.be/fz7Jxg7Hbkg
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 08:21:08.980779 | QGIS#6129 | Jek what | Les yeux qui font baisser les miens.
Un rire qui se perd sur sa bouche.
Voilà le portrait sans retouches.
De la femme à laquelle j'appartiens.
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:11:39.182954 | แว่นแดง#5640 | jek what | 煮豆燃豆萁
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:17:06.395007 | แว่นแดง#5640 | jek what | des haricots bouillis?
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:17:44.852957 | pp4rosie#2007 | jek china | ถั่วต้ม
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:19:17.815634 | pp4rosie#2007 | jek china | Les yeux qui font baisser les miens.
Un rire qui se perd sur sa bouche.
Voilà le portrait sans retouches.
De la femme à laquelle j'appartiens.
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:27:02.390704 | pp4rosie#2007 | jek china | Cristiano Ronaldo dos Santos Aveiro
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 09:28:38.431736 | pp4rosie#2007 | jek trans 陈仁智
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 13:00:41.545243 | QGIS#6129 | jek match
[command] ไม่ขายก๋วยเตี๋ยว | 2021-11-02 13:00:56.910581 | QGIS#6129 | jek bet 10
[command] Kanoon’s Best Amigos | 2021-11-02 16:09:44.375839 | ....#6809 | jek play https://www.youtube.com/watch?v=kTJczUoc26U
